Question,tot_time_spent,num students,average time to solve,num_success,num_failed,question_length,person_name_count,person_name_boolean,conjunction_phrase_count,preposition_phrase_count,math_symbols_count,Unnamed: 17,success_rate,Adding-Decimals,Addition,Algebraic-Manipulation,Area,Area-Concept,Area-of-Circle,Circle-Graph,Circumference,Combinatorics,Comparing-Fractions,Compounding_Interest,Congruence,Conversion-of-fractions-decimals-percents,Discount,Divide-Decimals,Divisibility,Division,Equation-Concept,Equation-Solving,Equivalent-Fractions-Decimals-Percents,Evaluating-Functions,Exponents,Finding-Percents,Fraction-Decimals-Percents,Fraction-Division,Fraction-Multiplication,Fractions,Increasing_Percent_(Sales_Tax),Inducing-Functions,Integers,Interpreting-Linear-Equations,Interpreting-Numberline,Isosceles-Triangle,Knowing_English_and_Metric_Terms,Least-Common-Multiple,Linear-Area-Volume-Conversion,Making-Sense-of-Expressions-and-Equations,Mean,Meaning-of-PI,Measurement,Median,Multiplication,Multiplying-Decimals,Multiplying-Positive-Negative-Numbers,Number-Line,Of-Means-Multiply,Ordering-Fractions,Ordering-Numbers,Order-of-Operations,Pattern-Finding,Percent-Of,Percents,Perimeter,Point-Plotting,Prime-Number,Probability,Properties-of-Geometric-Figures,Properties-of-Solids,Proportion,Pythagorean-theorem,Range,Rate,Rate-with-Distance-and-Time,Reading-graph,Reciprocal,Reduce-Fraction,Rounding,Scale,Scientific-Notation,Similar-Triangles,Slope,Square-Root,Statistics,Stem-and-Leaf-Plot,Substitution,Subtracting-Decimals,Subtraction,Sum-Of-Interior-Angles-more-than-3-Sides,Sum-of-Interior-Angles-Triangle,Supplementary-Angles,Surface-Area-and-Volume,Symbolization-Articulation,Transformations/Rotations,Transversals,Triangle-Inequality,Unit-Conversion,Venn-Diagram
"Including tax, the cost of renting a steam cleaner is $24.99 for the first day and $5.99 for each day after that. Which number sentence could be used to find C, the cost in dollars for keeping the cleaner for 4 days?",100538,259,388.1776062,254,5,216,0,FALSE,1,8,0,,0.980694981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yvette s goal is to run 30 miles a week. So far this week, she has run 6.5, 5.2, 7.8, 3 and 6.9 miles. How many more miles does she need to run to reach her goal?",21246,259,82.03088803,135,124,162,1,1,1,0,0,,0.521235521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Which equation states a rule for this table?,13853,267,51.88389513,169,98,44,0,FALSE,0,1,0,,0.632958801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Markers ordered for the art room cost $0.04 per marker for the first 100. After that the cost drops to $0.02 per marker. Which is a reasonable total cost for 250 markers?,15712,263,59.74144487,178,85,170,0,FALSE,0,7,0,,0.676806084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abby s class is taking a field trip to the Bunker Hill Monument. Abby read that to reach the top of the monument she must climb 294 steps, each of which is 8 inches tall. Abby weighs 130 pounds. How many foot-pounds of work will she have to per",34080,296,115.1351351,67,229,244,3,1,0,5,1,,0.226351351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Use the balance scale above to answer the question. Which of the following shows the relationship between the weights of one cylinder and one cube?,15952,290,55.00689655,220,70,147,0,FALSE,1,3,0,,0.75862069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Corrine and her brother Jerome have the same birthday. When Corrine was 8 years old, Jerome was 2. Which equation shows the relationship between Corrine s age, C, and Jerome s age, J, at all times during their lives?",16088,342,47.04093567,242,100,216,3,1,2,3,0,,0.707602339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
What is the product of a non-zero number n and its reciprocal?,8157,334,24.42215569,151,183,62,0,FALSE,1,1,1,,0.452095808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Max is 4 years younger than three times Carl s age. Carl is 14. Write an expression you can use to find Max s age.,23108,265,87.2,258,7,114,4,1,0,1,0,,0.973584906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pierre s class is taking a field trip to the Eiffel Tower. Pierre read that to reach the top of the tower he must climb 1665 steps, each of which is 8 inches tall. Pierre weighs 125 pounds. How many foot-pounds of work will he have to perform t",34645,310,111.7580645,81,229,244,3,1,0,4,1,,0.261290323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
